experiment 70 - can a helper written in a real language be carried in?
date (UTC)   : 2026-09-04T18:11:08Z
host kernel  : Linux 6.18.44-fc-v24
rustc        : rustc 1.94.1 (e408947bf 2026-03-25)
cc           : cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0

TARGET                 LIBC   sh                c-plain-static    rust-gnu-static   rust-musl-static 
alpine-3.22            musl   ok                ok                ok                ok               
alpine-3.20            musl   ok                ok                ok                ok               
alpine-3.10            musl   ok                ok                ok                ok               
voidlinux-musl         musl   ok                ok                ok                ok               
debian-11              glibc  ok                ok                ok                ok               
debian-12              glibc  ok                ok                ok                ok               
ubuntu-20.04           glibc  ok                ok                ok                ok               
rockylinux-8           glibc  ok                ok                ok                ok               
opensuse-leap-15.6     glibc  ok                ok                ok                ok               
fedora-42              glibc  ok                ok                ok                ok               
archlinux-latest       glibc  ok                ok                ok                ok               
pgb-env-debian13       glibc  ok                ok                ok                ok               
